"author_a","author_b","year","title"
"Brandl,J","Keegan,A","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Lê,JK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Brandl,J","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Cheal,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Cunha,MPE","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Gaim,M","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Keegan,A","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Lê,JK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Carmine,S","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Cunha,MPE","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Gaim,M","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Keegan,A","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Lê,JK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cheal,J","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Gaim,M","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Keegan,A","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Lê,JK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Cunha,MPE","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Keegan,A","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Lê,JK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Gaim,M","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Lê,JK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Keegan,A","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","MironSpektor,E","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Lê,JK","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"MironSpektor,E","Nielsen,RK","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"MironSpektor,E","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"MironSpektor,E","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"MironSpektor,E","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"MironSpektor,E","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"MironSpektor,E","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Nielsen,RK","Pouthier,V","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Nielsen,RK","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Nielsen,RK","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Nielsen,RK","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Nielsen,RK","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Pouthier,V","Sharma,G","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Pouthier,V","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Pouthier,V","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Pouthier,V","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Sharma,G","Sparr,JL","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Sharma,G","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Sharma,G","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Sparr,JL","Vince,R","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Sparr,JL","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Vince,R","Keller,J","2021","The lived experience of paradox: how individuals navigate tensions during the pandemic crisis. Journal of Management Inquiry, 30(2), 154-167. https://doi.org/10.1177/1056492620986874"
"Fernandes,Â","Bancessi,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Pinela,J","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Dias,MI","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Liberal,Â","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Calhelha,RC","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Ćirić,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Fernandes,Â","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Pinela,J","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Dias,MI","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Liberal,Â","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Calhelha,RC","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Ćirić,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Bancessi,A","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Dias,MI","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Liberal,Â","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Calhelha,RC","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Ćirić,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Pinela,J","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Liberal,Â","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Calhelha,RC","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Ćirić,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Dias,MI","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Liberal,Â","Calhelha,RC","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Liberal,Â","Ćirić,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Liberal,Â","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Liberal,Â","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Liberal,Â","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Liberal,Â","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Calhelha,RC","Ćirić,A","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Calhelha,RC","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Calhelha,RC","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Calhelha,RC","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Calhelha,RC","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Ćirić,A","Soković,M","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Ćirić,A","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Ćirić,A","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Ćirić,A","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Soković,M","Catarino,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Soković,M","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Soković,M","Barros,L","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
"Catarino,L","Ferreira,ICFR","2021","Nutritional and phytochemical profiles and biological activities of Moringa oleifera Lam. edible parts from Guinea-Bissau (West Africa). Food Chemistry, 341, [128229]. https://doi.org/10.1016/j.foodchem.2020.128229"
